ID;marine;memory;add.surface.;resolution.cm;resolution.sections;waterline;reservoir;starting.age;acc.rate;hiatus.1;hiatus.2;hiatus.3;add.depth.1;add.age.1;add.error.1;need.calibration.1;add.depth.2;add.age.2;add.error.2;need.calibration.2;add.depth.3;add.age.3;add.error.3;need.calibration.3;add.depth.4;add.age.4;add.error.4;need.calibration.4;add.depth.5;add.age.5;add.error.5;need.calibration.5;add.depth.6;add.age.6;add.error.6;need.calibration.6;add.depth.7;add.age.7;add.error.7;need.calibration.7;add.depth.8;add.age.8;add.error.8;need.calibration.8;add.depth.9;add.age.9;add.error.9;need.calibration.9;add.depth.10;add.age.10;add.error.10;need.calibration.10;add.depth.11;add.age.11;add.error.11;need.calibration.11;add.depth.12;add.age.12;add.error.12;need.calibration.12;add.depth.13;add.age.13;add.error.13;need.calibration.13;add.depth.14;add.age.14;add.error.14;need.calibration.14;add.depth.15;add.age.15;add.error.15;need.calibration.15;add.depth.16;add.age.16;add.error.16;need.calibration.16;keep.age.1;keep.age.2;keep.age.3;keep.age.4;keep.age.5;keep.age.6;delete.1;delete.2;delete.3;delete.4;delete.5;delete.6;delete.7;delete.8;delete.9;delete.10;delete.11;delete.12;delete.13;delete.14;delete.15;delete.16;delete.17;delete.18
204;FALSE;0.7;TRUE;;60;;;-50;;;;;510;10000;300;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;FALSE;0.3;FALSE;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;FALSE;0.3;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;;;;;;;;;;;;;;;;;
208;FALSE;0.3;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;FALSE;0.3;TRUE;;30;;;-50;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;FALSE;0.7;TRUE;5;;;;-50;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;;;;;;;;;;;;;;;;;
212;FALSE;0.3;FALSE;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;FALSE;0.7;FALSE;2.5;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;FALSE;0.7;TRUE;5;;;;-35;;;;;185;10250;250;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;FALSE;0.3;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4600;;;;;;205;;;;;;;;;;;;;;;;;
219;FALSE;0.3;TRUE;;60;;;-50;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;FALSE;0.3;TRUE;;60;;;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;FALSE;0.3;TRUE;2.5;;;;-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;FALSE;0.3;TRUE;;60;;;-50;;596;;;640;14500;500;TRUE;210;2800;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;607.5;;;;;;;;;;;;;;;;;
226;FALSE;0.7;FALSE;10;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;FALSE;0.7;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;FALSE;0.3;TRUE;10;;450;;-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;FALSE;0.3;TRUE;5;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;;;;;;;;;;;;;;;;;
236;FALSE;0.3;TRUE;5;;;;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;FALSE;0.3;TRUE;5;;905;;-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;FALSE;0.3;TRUE;;30;;;-30;;;;;198.5;500;100;TRUE;253;2750;500;TRUE;790.5;12500;600;TRUE;500.5;6850;150;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;FALSE;0.7;FALSE;10;;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;FALSE;0.7;TRUE;;60;;;-50;;;;;460;10000;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;FALSE;0.7;TRUE;10;;;;-22;;;;;10.5;60;10;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;435;455;;;;;;;;;;;;;;;;
252;FALSE;0.7;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;FALSE;0.3;TRUE;10;;;;-50;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;FALSE;0.7;TRUE;10;;;;-50;20;;;;710;16400;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;FALSE;0.7;TRUE;;15;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;FALSE;0.3;TRUE;;30;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;FALSE;0.7;FALSE;;30;;;;;;;;0;7000;500;TRUE;525;16000;1000;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;FALSE;0.3;TRUE;;30;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;FALSE;0.7;TRUE;5;;;;-50;;;;;440;2800;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;FALSE;0.3;TRUE;10;;;40;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;FALSE;0.3;TRUE;5;;;80;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;FALSE;0.3;TRUE;10;;;60;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;FALSE;0.7;FALSE;10;;448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;577.5;619;667;;;;;;;;;;;;;;;
272;FALSE;0.3;TRUE;10;;;380;-31;;;;;200;5500;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;FALSE;0.3;TRUE;;15;180;740;-24;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;FALSE;0.3;TRUE;;5;;300;-32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;FALSE;0.3;TRUE;5;;;;-20;;;;;236;6850;150;TRUE;465;14360;400;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;FALSE;0.7;TRUE;20;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;247.5;;;;;;;;;;;;;;;;
284;FALSE;0.7;FALSE;10;;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;FALSE;0.3;TRUE;;30;-10;;-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;30;121;160;321.5;416;;;;;;;;;;;;
287;FALSE;0.3;TRUE;;60;;;-50;;;;;11;116;50;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
